0.79   0.5   -0.295498   0.0016579
0.79   0.52   -0.349708   0.00135439
0.79   0.54   -0.387417   0.00104626
0.79   0.56   -0.415796   0.000853567
0.79   0.58   -0.433923   0.000668674
0.79   0.6   -0.442601   0.000653968
0.79   0.62   -0.444842   0.000720534
0.79   0.64   -0.440114   0.00100447
0.79   0.66   -0.434549   0.00124871
0.79   0.68   -0.420906   0.00164258
0.794   0.5   -0.292815   0.0016271
0.794   0.52   -0.349445   0.00132627
0.794   0.54   -0.389431   0.00107804
0.794   0.56   -0.414519   0.000829685
0.794   0.58   -0.432502   0.000685298
0.794   0.6   -0.442088   0.000694272
0.794   0.62   -0.442989   0.000840571
0.794   0.64   -0.436578   0.00116184
0.794   0.66   -0.431648   0.00120471
0.794   0.68   -0.41769   0.00152531
0.798   0.5   -0.291391   0.0017122
0.798   0.52   -0.349598   0.00133138
0.798   0.54   -0.387641   0.00106197
0.798   0.56   -0.415136   0.000791803
0.798   0.58   -0.431566   0.000750269
0.798   0.6   -0.443021   0.000793281
0.798   0.62   -0.443943   0.00082665
0.798   0.64   -0.437961   0.00109322
0.798   0.66   -0.431841   0.00128561
0.798   0.68   -0.418553   0.00172032
0.802   0.5   -0.292758   0.0016783
0.802   0.52   -0.348663   0.00130856
0.802   0.54   -0.387117   0.00102557
0.802   0.56   -0.41545   0.00084337
0.802   0.58   -0.433591   0.000710664
0.802   0.6   -0.442829   0.000677174
0.802   0.62   -0.443128   0.000859323
0.802   0.64   -0.441367   0.00102901
0.802   0.66   -0.431666   0.00124618
0.802   0.68   -0.419856   0.00166521
0.806   0.5   -0.288158   0.00165549
0.806   0.52   -0.344546   0.00133734
0.806   0.54   -0.387269   0.00107913
0.806   0.56   -0.415514   0.000819264
0.806   0.58   -0.432232   0.000702526
0.806   0.6   -0.441649   0.000720948
0.806   0.62   -0.444019   0.00087344
0.806   0.64   -0.440605   0.00102682
0.806   0.66   -0.429066   0.00160899
0.806   0.68   -0.417921   0.00168817
0.81   0.5   -0.289488   0.00164794
0.81   0.52   -0.344647   0.00127127
0.81   0.54   -0.384845   0.00107673
0.81   0.56   -0.414814   0.00084026
0.81   0.58   -0.432104   0.000710517
0.81   0.6   -0.442421   0.000724806
0.81   0.62   -0.442815   0.000935825
0.81   0.64   -0.438987   0.00115941
0.81   0.66   -0.430551   0.0013872
0.81   0.68   -0.42013   0.00167397
0.814   0.5   -0.290042   0.00165803
0.814   0.52   -0.344345   0.00135785
0.814   0.54   -0.383562   0.00101254
0.814   0.56   -0.414115   0.000808082
0.814   0.58   -0.431805   0.000681106
0.814   0.6   -0.441511   0.000736494
0.814   0.62   -0.442854   0.000918076
0.814   0.64   -0.438473   0.00114147
0.814   0.66   -0.429356   0.00133713
0.814   0.68   -0.41917   0.00158181
0.818   0.5   -0.286213   0.00164501
0.818   0.52   -0.34352   0.00131844
0.818   0.54   -0.383973   0.00105083
0.818   0.56   -0.412323   0.000851756
0.818   0.58   -0.431436   0.000710496
0.818   0.6   -0.441738   0.000754313
0.818   0.62   -0.441519   0.00092811
0.818   0.64   -0.437595   0.00121236
0.818   0.66   -0.430453   0.00134804
0.818   0.68   -0.415438   0.00189185
0.822   0.5   -0.285372   0.0016464
0.822   0.52   -0.341819   0.00132551
0.822   0.54   -0.382692   0.00104508
0.822   0.56   -0.413038   0.000853182
0.822   0.58   -0.431428   0.000755617
0.822   0.6   -0.441517   0.000706559
0.822   0.62   -0.442355   0.000986773
0.822   0.64   -0.438379   0.00118023
0.822   0.66   -0.428033   0.00143666
0.822   0.68   -0.410955   0.00185466
0.826   0.5   -0.283173   0.00160726
0.826   0.52   -0.34236   0.00134085
0.826   0.54   -0.383042   0.00105315
0.826   0.56   -0.411817   0.000851274
0.826   0.58   -0.430505   0.000687047
0.826   0.6   -0.440299   0.000833836
0.826   0.62   -0.442224   0.000952069
0.826   0.64   -0.436643   0.00138479
0.826   0.66   -0.424097   0.00165515
0.826   0.68   -0.411448   0.00195559
