0.001   39.8692
1.001   29.9898
2.001   18.8896
3.001   13.4757
4.001   11.0954
5.001   8.08185
6.001   7.75419
7.001   7.0822
8.001   6.65584
9.001   7.17011
10.001   6.55391
11.001   6.29228
12.001   6.53668
13.001   6.3216
14.001   6.30239
15.001   6.86569
16.001   6.87225
17.001   6.4617
18.001   6.44146
19.001   6.26874
20.001   6.24964
21.001   6.52433
22.001   6.36184
23.001   6.24964
24.001   6.24964
25.001   6.24726
26.001   6.26635
27.001   6.24726
28.001   6.38328
29.001   6.30239
30.001   6.26635
31.001   6.26635
32.001   6.26874
33.001   6.32831
34.001   6.24726
35.001   6.24726
36.001   6.30898
37.001   6.28989
38.001   6.24726
39.001   6.28329
40.001   6.24964
41.001   6.24726
42.001   6.29228
43.001   6.24726
44.001   6.24964
45.001   6.26874
46.001   6.24964
47.001   6.24964
48.001   6.28989
49.001   6.24964
50.001   6.26635
51.001   6.28329
52.001   6.24964
53.001   6.24726
54.001   6.24726
55.001   6.24964
56.001   6.30478
57.001   6.26635
58.001   6.24964
59.001   6.29228
60.001   6.26635
61.001   6.28989
62.001   6.29228
63.001   6.24726
64.001   6.24964
65.001   6.24726
66.001   6.26874
67.001   6.26874
68.001   6.24726
69.001   6.24726
70.001   6.24726
71.001   6.26874
72.001   6.28329
73.001   6.28329
74.001   6.26874
75.001   6.34065
76.001   6.24726
77.001   6.24964
78.001   6.24964
79.001   6.24964
80.001   6.26635
81.001   6.26635
82.001   6.24964
83.001   6.26635
84.001   6.26874
85.001   6.24964
86.001   6.24964
87.001   6.24726
88.001   6.24964
89.001   6.24726
90.001   6.24964
91.001   6.24726
92.001   6.24964
93.001   6.26635
94.001   6.24964
95.001   6.24964
96.001   6.24726
97.001   6.26635
98.001   6.24964
